training_datetime,dayname,month,year,nickname,employee_names,company,trainer,short_type,bgn_per_hour,concat_emp_company,total_per_emp,trainings_left,returns_or_not,flags,phone,pvt_email,work_email,scheduled_date,type,emp_names_input,is_valid
01-Mar-2023 09:00:00,Wednesday,March,2023,LUAYEMAY,Luke Mayer,NOVEX,Любомира Иванова,Онлайн,50.0,LUAYEMAY|NOVEX,6,6.0,more then one session,,899321552,luke.mayer@yandex.ru,l.mayer@novex.com,22-Feb-2023,Novex: Онлайн тренинг за лидери|Online leadership training,|Luke|Mayer|,1.0
01-Mar-2023 11:00:00,Wednesday,March,2023,OHHERCHE,Ohanes Chervenkova,NOVEX,Георги Михайлов,На живо,50.0,OHHERCHE|NOVEX,14,-2.0,more then one session,"9,",882085080,oxanes.chervenkova@gmail.com,o.chervenkova@novex.com,21-Feb-2023,Novex: Тренинг за лидери на живо | Leadership training in person,|Оханес|Червенкова|,1.0
01-Mar-2023 14:00:00,Wednesday,March,2023,TORADGRA,Todorin Gradinarova,QUANTUMPEAK,Георги Михайлов,На живо,40.0,TORADGRA|QUANTUMPEAK,4,16.0,more then one session,,811212213,todorin.gradinarova@yahoo.com,t.gradinarova@quantumpeak.com,09-Feb-2023,QuantumPeak:Тренинг за лидери на живо | Leadership training in person,|Тодорин|Градинарова|,1.0
01-Mar-2023 14:00:00,Wednesday,March,2023,LEAPUEKO,Leko Sapundzhieva,VISION,Димитър Петров,На живо,40.0,LEAPUEKO|VISION,3,,more then one session,"2,",895231211,leko.sapundzhieva@gmail.com,,24-Feb-2023,VISION: Тренинг за лидери на живо | Leadership training in person,|Леко|Сапунджиева|,1.0
01-Mar-2023 15:00:00,Wednesday,March,2023,YAOBEBOB,Yakim Bobev,SWIFT SYSTEMS,Георги Михайлов,Онлайн,50.0,YAOBEBOB|SWIFT SYSTEMS,13,,more then one session,,889132521,yakim.bobev@mail.bg,y.bobev@swift.systems.com,16-Feb-2023,Swift Systems: Онлайн тренинг за лидери | Online leadership training,|Яким|Бобев|,1.0
01-Mar-2023 16:00:00,Wednesday,March,2023,GEARAPAR,Georgi Parashkevov,SWIFT SYSTEMS,Димитър Георгиев,Онлайн,50.0,GEARAPAR|SWIFT SYSTEMS,47,,more then one session,,888811192,georgi.parashkevov@mail.bg,g.parashkevov@swift.systems.com,23-Feb-2023,Swift Systems: Онлайн тренинг за лидери | Online leadership training,|Георги|Парашкевов|,1.0
01-Mar-2023 16:30:00,Wednesday,March,2023,ZANOGMNO,Zaharinka Mnogoznaeva,SWIFT SYSTEMS,Цветелина Петрова,На живо,50.0,ZANOGMNO|SWIFT SYSTEMS,24,,more then one session,,888102255,zaxarinka.mnogoznaeva@yahoo.com,z.mnogoznaeva@swift.systems.com,24-Feb-2023,Swift Systems: Тренинг за лидери на живо | Leadership training in person,|Захаринка|Многознаева|,1.0
01-Mar-2023 17:00:00,Wednesday,March,2023,ZVIMOLIM,Zvezdislav Limonadov,MODERNTECH,Димитър Петров,На живо,40.0,ZVIMOLIM|MODERNTECH,15,,more then one session,,883328221,zvezdislav.limonadov@mail.bg,z.limonadov@moderntech.com,15-Feb-2023,ModernTech: Тренинг за лидери на живо | Leadership training in person,|Звездислав|Лимонадов|,1.0
01-Mar-2023 18:00:00,Wednesday,March,2023,ANIRAMIR,Angela Miranda,SWIFT SYSTEMS,Жана Иванова,На живо,50.0,ANIRAMIR|SWIFT SYSTEMS,40,,more then one session,,885521133,angela.miranda@yahoo.co.uk,a.miranda@swift.systems.com,16-Feb-2023,Swift Systems: Тренинг за лидери на живо | Leadership training in person,|Angela|Miranda|,1.0
02-Mar-2023 08:30:00,Thursday,March,2023,STUKUKUK,Stoimena Kukuryashkov,SWIFT SYSTEMS,Георги Михайлов,На живо,50.0,STUKUKUK|SWIFT SYSTEMS,21,,more then one session,,889133322,stoimena.kukuryashkov@abv.bg,s.kukuryashkov@swift.systems.com,25-Feb-2023,Swift Systems: Тренинг за лидери на живо | Leadership training in person,|Стоимена|Кукуряшков|,1.0
