start_time,end_time,f_name,l_name,phone,pvt_email,type,calendar,price,is_paid,paid_online,certificate_code,notes,scheduled_on,label,scheduled_by,company_name,work_email,preferred_platforms,appointment_id,flags,emp_names_input,first_name,last_name,employee_names,nickname,short_type,company,c_per_emp,c_per_month,prepaid,starts,ends,note,bgn_per_hour,is_valid,contract_duration,concat_emp_company,total_per_emp,returns_or_not,trainer,concat_count,active_trainings_per_client,trainings_left,month,year,dayname,training_datetime,scheduled_date,training_end
2020-12-23 16:00:00,2020-12-23 16:50:00,Преса,Четрафилски,,presa.chetrafilski@abv.bg,NexaTech | Online leadership training | Онлайн тренинг за лидери,Иван Тодоров | Ivan Todorov,0.0,no,0.0,,,2020-12-21,,a client,NexaTech,presa.chetrafilski@abv.bg,"Zoom, Skype, Viber",495717523,,| Преса|Четрафилски |,PRESA,CHETRAFILSKI,Presa Chetrafilski,PRHETRES,Онлайн,NEXATECH,9999.0,0.0,0.0,1920-01-01,01-Jan-1920,,40.0,1.0,0 days,PRHETRES|NEXATECH,1,only one session,Иван Тодоров,,,,December,2020,Wednesday,23-Dec-2020 16:00:00,21-Dec-2020,23-Dec-2020
2021-01-05 16:00:00,2021-01-05 16:50:00,Харитии,Илиева,891239901,xaritii.ilieva@yahoo.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Мария Георгиева | Maria Georgieva,0.0,no,0.0,,,2020-12-25,,a client,BlueNova,x.ilieva@bluenova.com,Zoom,497350356,,|Харитии| Илиева|,HARITII,ILIEVA,Haritii Ilieva,HALIEILI,Онлайн,BLUENOVA,9999.0,0.0,0.0,2022-01-01,31-Dec-2022,,40.0,1.0,364 days,HALIEILI|BLUENOVA,1,only one session,Мария Георгиева,,,,January,2021,Tuesday,05-Jan-2021 16:00:00,25-Dec-2020,05-Jan-2021
2021-01-06 15:00:00,2021-01-06 15:50:00,Цочо,Дзезов,,cocho.dzezov@gmail.com,NexaTech | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0.0,no,0.0,,,2020-12-21,,a client,NexaTech,c.dzezov@nexatech.com,"Skype, Viber",495586521,,|Цочо|Дзезов|,TSOCHO,DZEZOV,Tsocho Dzezov,TSZEZDZE,Онлайн,NEXATECH,9999.0,0.0,0.0,1920-01-01,01-Jan-1920,,40.0,1.0,0 days,TSZEZDZE|NEXATECH,1,only one session,Димитър Петров,,,,January,2021,Wednesday,06-Jan-2021 15:00:00,21-Dec-2020,06-Jan-2021
2021-01-06 18:00:00,2021-01-06 18:50:00,Златан,Колчев,,zlatan.kolchev@mail.bg,NexaTech | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0.0,no,0.0,,,2020-12-21,,a client,NexaTech,zlatan.kolchev@mail.bg,Skype,495586860,,|Златан|Колчев|,ZLATAN,KOLCHEV,Zlatan Kolchev,ZLOLCLAT,Онлайн,NEXATECH,9999.0,0.0,0.0,1920-01-01,01-Jan-1920,,40.0,1.0,0 days,ZLOLCLAT|NEXATECH,1,only one session,Димитър Петров,,,,January,2021,Wednesday,06-Jan-2021 18:00:00,21-Dec-2020,06-Jan-2021
2021-01-08 13:00:00,2021-01-08 13:50:00,Билена,Симеонов,,hello@test.jp,NexaTech | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0.0,no,0.0,,,2021-01-04,,a client,NexaTech,b.simeonov@nexatech.com,Skype,501721400,,|Билена|Симеонов|,BILENA,SIMEONOV,Bilena Simeonov,BIIMESIM,Онлайн,NEXATECH,9999.0,0.0,0.0,1920-01-01,01-Jan-1920,,40.0,1.0,0 days,BIIMESIM|NEXATECH,1,only one session,Димитър Петров,,,,January,2021,Friday,08-Jan-2021 13:00:00,04-Jan-2021,08-Jan-2021
2021-01-08 15:00:00,2021-01-08 15:50:00,Панделис,Каракашев,883331511,pandelis.karakashev@yahoo.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0.0,no,0.0,,,2021-01-05,,a client,BlueNova,p.karakashev@bluenova.com,Viber,502585669,,|Панделис|Каракашев|,PANDELIS,KARAKASHEV,Pandelis Karakashev,PAARAKAR,Онлайн,BLUENOVA,9999.0,0.0,0.0,2022-01-01,31-Dec-2022,,40.0,1.0,364 days,PAARAKAR|BLUENOVA,67,more then one session,Димитър Петров,,,,January,2021,Friday,08-Jan-2021 15:00:00,05-Jan-2021,08-Jan-2021
2021-01-10 17:00:00,2021-01-10 17:50:00,Alijah,Crawford,818385881,alijah.crawford@msn.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Иван Тодоров | Ivan Todorov,0.0,no,0.0,,,2021-01-07,,a client,BlueNova,alijah.crawford@msn.com,"Zoom, Viber",504017525,,|Alijah|Crawford|,ALIJAH,CRAWFORD,Alijah Crawford,ALRAWLIJ,Онлайн,BLUENOVA,9999.0,0.0,0.0,2022-01-01,31-Dec-2022,,40.0,1.0,364 days,ALRAWLIJ|BLUENOVA,4,more then one session,Иван Тодоров,,,,January,2021,Sunday,10-Jan-2021 17:00:00,07-Jan-2021,10-Jan-2021
2021-01-11 13:00:00,2021-01-11 13:50:00,Финдо,Градинарова,882252233,findo.gradinarova@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Жана Иванова | Zhana Ivanova,0.0,no,0.0,,,2021-01-07,,a client,BlueNova,f.gradinarova@bluenova.com,"Zoom, Viber",504041258,,|Финдо|Градинарова|,FINDO,GRADINAROVA,Findo Gradinarova,FIRADGRA,Онлайн,BLUENOVA,9999.0,0.0,0.0,2022-01-01,31-Dec-2022,,40.0,1.0,364 days,FIRADGRA|BLUENOVA,15,more then one session,Жана Иванова,,,,January,2021,Monday,11-Jan-2021 13:00:00,07-Jan-2021,11-Jan-2021
2021-01-11 15:00:00,2021-01-11 15:50:00,Яниславия,Сапунджиева,881201225,hello@test.jp,NexaTech | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0.0,no,0.0,,,2021-01-04,,a client,NexaTech,y.sapundzhieva@nexatech.com,Viber,501723336,,|Яниславия|Сапунджиева|,YANISLAVIYA,SAPUNDZHIEVA,Yanislaviya Sapundzhieva,YAAPUSAP,Онлайн,NEXATECH,9999.0,0.0,0.0,1920-01-01,01-Jan-1920,,40.0,1.0,0 days,YAAPUSAP|NEXATECH,1,only one session,Димитър Петров,,,,January,2021,Monday,11-Jan-2021 15:00:00,04-Jan-2021,11-Jan-2021
2021-01-11 16:30:00,2021-01-11 17:20:00,Янадин,Бурханларски,895929210,yanadin.burxanlarski@abv.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0.0,no,0.0,,,2021-01-07,,a client,BlueNova,y.burxanlarski@bluenova.com,Zoom,504037746,,|Янадин|Бурханларски|,YANADIN,BURHANLARSKI,Yanadin Burhanlarski,YAURHBUR,Онлайн,BLUENOVA,9999.0,0.0,0.0,2022-01-01,31-Dec-2022,,40.0,1.0,364 days,YAURHBUR|BLUENOVA,1,only one session,Димитър Петров,,,,January,2021,Monday,11-Jan-2021 16:30:00,07-Jan-2021,11-Jan-2021
