start_time,end_time,f_name,l_name,phone,pvt_email,type,calendar,price,is_paid,paid_online,certificate_code,notes,scheduled_on,label,scheduled_by,company_name,work_email,preferred_platforms,appointment_id,flags,emp_names_input,first_name,last_name,employee_names,nickname,short_type,company,c_per_emp,c_per_month,prepaid,starts,ends,note,bgn_per_hour,is_valid,contract_duration,concat_emp_company,total_per_emp,returns_or_not,trainer,concat_count,active_trainings_per_client,trainings_left,month,year,dayname,training_datetime,scheduled_date,training_end
2023-03-01 09:00:00,2023-03-01 09:50:00,Luke,Mayer,899321552,luke.mayer@yandex.ru,Novex: Онлайн тренинг за лидери|Online leadership training,Любомира Иванова | Lyubomira Ivanova,0.0,no,0.0,,,2023-02-22,,a client,Novex,l.mayer@novex.com,Zoom,991144853,,|Luke|Mayer|,LUKE,MAYER,Luke Mayer,LUAYEMAY,Онлайн,NOVEX,12.0,0.0,0.0,2022-04-01,31-Mar-2023,,50.0,1.0,364 days,LUAYEMAY|NOVEX,6,more then one session,Любомира Иванова,NOVEX|LUAYEMAY,6.0,6.0,March,2023,Wednesday,01-Mar-2023 09:00:00,22-Feb-2023,01-Mar-2023
2023-03-01 11:00:00,2023-03-01 11:50:00,Оханес,Червенкова,882085080,oxanes.chervenkova@gmail.com,Novex: Тренинг за лидери на живо | Leadership training in person,Георги Михайлов | Georgi Mihaylov,0.0,no,0.0,,,2023-02-21,,a client,Novex,o.chervenkova@novex.com,,990405710,"9,",|Оханес|Червенкова|,OHANES,CHERVENKOVA,Ohanes Chervenkova,OHHERCHE,На живо,NOVEX,12.0,0.0,0.0,2022-04-01,31-Mar-2023,,50.0,1.0,364 days,OHHERCHE|NOVEX,14,more then one session,Георги Михайлов,NOVEX|OHHERCHE,14.0,-2.0,March,2023,Wednesday,01-Mar-2023 11:00:00,21-Feb-2023,01-Mar-2023
2023-03-01 14:00:00,2023-03-01 14:50:00,Тодорин,Градинарова,811212213,todorin.gradinarova@yahoo.com,QuantumPeak:Тренинг за лидери на живо | Leadership training in person,Георги Михайлов | Georgi Mihaylov,0.0,no,0.0,,,2023-02-09,,a trainer,QuantumPeak,t.gradinarova@quantumpeak.com,,983483596,,|Тодорин|Градинарова|,TODORIN,GRADINAROVA,Todorin Gradinarova,TORADGRA,На живо,QUANTUMPEAK,20.0,0.0,0.0,2022-05-01,30-Apr-2023,,40.0,1.0,364 days,TORADGRA|QUANTUMPEAK,4,more then one session,Георги Михайлов,QUANTUMPEAK|TORADGRA,4.0,16.0,March,2023,Wednesday,01-Mar-2023 14:00:00,09-Feb-2023,01-Mar-2023
2023-03-01 14:00:00,2023-03-01 14:50:00,Леко,Сапунджиева,895231211,leko.sapundzhieva@gmail.com,VISION: Тренинг за лидери на живо | Leadership training in person,Димитър Петров | Dimitar Petrov,0.0,no,0.0,,,2023-02-24,,a trainer,,,,992645278,"2,",|Леко|Сапунджиева|,LEKO,SAPUNDZHIEVA,Leko Sapundzhieva,LEAPUEKO,На живо,VISION,3.0,0.0,0.0,2022-01-01,31-Dec-2022,,40.0,1.0,364 days,LEAPUEKO|VISION,3,more then one session,Димитър Петров,,,,March,2023,Wednesday,01-Mar-2023 14:00:00,24-Feb-2023,01-Mar-2023
2023-03-01 15:00:00,2023-03-01 15:50:00,Яким,Бобев,889132521,yakim.bobev@mail.bg,Swift Systems: Онлайн тренинг за лидери | Online leadership training,Георги Михайлов | Georgi Mihaylov,0.0,no,0.0,,,2023-02-16,,a client,Swift Systems,y.bobev@swift.systems.com,Google Meet,987565225,,|Яким|Бобев|,YAKIM,BOBEV,Yakim Bobev,YAOBEBOB,Онлайн,SWIFT SYSTEMS,9999.0,0.0,0.0,2022-04-01,30-Sep-2022,,50.0,1.0,182 days,YAOBEBOB|SWIFT SYSTEMS,13,more then one session,Георги Михайлов,,,,March,2023,Wednesday,01-Mar-2023 15:00:00,16-Feb-2023,01-Mar-2023
2023-03-01 16:00:00,2023-03-01 16:50:00,Георги,Парашкевов,888811192,georgi.parashkevov@mail.bg,Swift Systems: Онлайн тренинг за лидери | Online leadership training,Димитър Георгиев | Dimitar Georgiev,0.0,no,0.0,,,2023-02-23,,a client,Swift Systems,g.parashkevov@swift.systems.com,Viber,992084615,,|Георги|Парашкевов|,GEORGI,PARASHKEVOV,Georgi Parashkevov,GEARAPAR,Онлайн,SWIFT SYSTEMS,9999.0,0.0,0.0,2022-04-01,30-Sep-2022,,50.0,1.0,182 days,GEARAPAR|SWIFT SYSTEMS,47,more then one session,Димитър Георгиев,,,,March,2023,Wednesday,01-Mar-2023 16:00:00,23-Feb-2023,01-Mar-2023
2023-03-01 16:30:00,2023-03-01 17:20:00,Захаринка,Многознаева,888102255,zaxarinka.mnogoznaeva@yahoo.com,Swift Systems: Тренинг за лидери на живо | Leadership training in person,Цветелина Петрова | Tsvetelina Petrova,0.0,no,0.0,,,2023-02-24,,a trainer,Swift Systems,z.mnogoznaeva@swift.systems.com,,992612414,,|Захаринка|Многознаева|,ZAHARINKA,MNOGOZNAEVA,Zaharinka Mnogoznaeva,ZANOGMNO,На живо,SWIFT SYSTEMS,9999.0,0.0,0.0,2022-04-01,30-Sep-2022,,50.0,1.0,182 days,ZANOGMNO|SWIFT SYSTEMS,24,more then one session,Цветелина Петрова,,,,March,2023,Wednesday,01-Mar-2023 16:30:00,24-Feb-2023,01-Mar-2023
2023-03-01 17:00:00,2023-03-01 17:50:00,Звездислав,Лимонадов,883328221,zvezdislav.limonadov@mail.bg,ModernTech: Тренинг за лидери на живо | Leadership training in person,Димитър Петров | Dimitar Petrov,0.0,no,0.0,,,2023-02-15,,a client,ModernTech,z.limonadov@moderntech.com,,986812973,,|Звездислав|Лимонадов|,ZVEZDISLAV,LIMONADOV,Zvezdislav Limonadov,ZVIMOLIM,На живо,MODERNTECH,9999.0,0.0,0.0,1920-01-01,01-Jan-1920,,40.0,1.0,0 days,ZVIMOLIM|MODERNTECH,15,more then one session,Димитър Петров,,,,March,2023,Wednesday,01-Mar-2023 17:00:00,15-Feb-2023,01-Mar-2023
2023-03-01 18:00:00,2023-03-01 18:50:00,Angela,Miranda,885521133,angela.miranda@yahoo.co.uk,Swift Systems: Тренинг за лидери на живо | Leadership training in person,Жана Иванова | Zhana Ivanova,0.0,no,0.0,,,2023-02-16,,a client,Swift Systems,a.miranda@swift.systems.com,,987655830,,|Angela|Miranda|,ANGELA,MIRANDA,Angela Miranda,ANIRAMIR,На живо,SWIFT SYSTEMS,9999.0,0.0,0.0,2022-04-01,30-Sep-2022,,50.0,1.0,182 days,ANIRAMIR|SWIFT SYSTEMS,40,more then one session,Жана Иванова,,,,March,2023,Wednesday,01-Mar-2023 18:00:00,16-Feb-2023,01-Mar-2023
2023-03-02 08:30:00,2023-03-02 09:20:00,Стоимена,Кукуряшков,889133322,stoimena.kukuryashkov@abv.bg,Swift Systems: Тренинг за лидери на живо | Leadership training in person,Георги Михайлов | Georgi Mihaylov,0.0,no,0.0,,,2023-02-25,,a trainer,Swift Systems,s.kukuryashkov@swift.systems.com,,993285572,,|Стоимена|Кукуряшков|,STOIMENA,KUKURYASHKOV,Stoimena Kukuryashkov,STUKUKUK,На живо,SWIFT SYSTEMS,9999.0,0.0,0.0,2022-04-01,30-Sep-2022,,50.0,1.0,182 days,STUKUKUK|SWIFT SYSTEMS,21,more then one session,Георги Михайлов,,,,March,2023,Thursday,02-Mar-2023 08:30:00,25-Feb-2023,02-Mar-2023
