training_datetime,dayname,month,year,nickname,employee_names,company,trainer,short_type,bgn_per_hour,concat_emp_company,total_per_emp,trainings_left,returns_or_not,flags,phone,pvt_email,work_email,scheduled_date,type,emp_names_input,is_valid
23-Dec-2020 16:00:00,Wednesday,December,2020,PRHETRES,Presa Chetrafilski,NEXATECH,Иван Тодоров,Онлайн,40.0,PRHETRES|NEXATECH,1,,only one session,,,presa.chetrafilski@abv.bg,presa.chetrafilski@abv.bg,21-Dec-2020,NexaTech | Online leadership training | Онлайн тренинг за лидери,| Преса|Четрафилски |,1.0
05-Jan-2021 16:00:00,Tuesday,January,2021,HALIEILI,Haritii Ilieva,BLUENOVA,Мария Георгиева,Онлайн,40.0,HALIEILI|BLUENOVA,1,,only one session,,891239901,xaritii.ilieva@yahoo.com,x.ilieva@bluenova.com,25-Dec-2020,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Харитии| Илиева|,1.0
06-Jan-2021 15:00:00,Wednesday,January,2021,TSZEZDZE,Tsocho Dzezov,NEXATECH,Димитър Петров,Онлайн,40.0,TSZEZDZE|NEXATECH,1,,only one session,,,cocho.dzezov@gmail.com,c.dzezov@nexatech.com,21-Dec-2020,NexaTech | Online leadership training | Онлайн тренинг за лидери,|Цочо|Дзезов|,1.0
06-Jan-2021 18:00:00,Wednesday,January,2021,ZLOLCLAT,Zlatan Kolchev,NEXATECH,Димитър Петров,Онлайн,40.0,ZLOLCLAT|NEXATECH,1,,only one session,,,zlatan.kolchev@mail.bg,zlatan.kolchev@mail.bg,21-Dec-2020,NexaTech | Online leadership training | Онлайн тренинг за лидери,|Златан|Колчев|,1.0
08-Jan-2021 13:00:00,Friday,January,2021,BIIMESIM,Bilena Simeonov,NEXATECH,Димитър Петров,Онлайн,40.0,BIIMESIM|NEXATECH,1,,only one session,,,hello@test.jp,b.simeonov@nexatech.com,04-Jan-2021,NexaTech | Online leadership training | Онлайн тренинг за лидери,|Билена|Симеонов|,1.0
08-Jan-2021 15:00:00,Friday,January,2021,PAARAKAR,Pandelis Karakashev,BLUENOVA,Димитър Петров,Онлайн,40.0,PAARAKAR|BLUENOVA,67,,more then one session,,883331511,pandelis.karakashev@yahoo.com,p.karakashev@bluenova.com,05-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Панделис|Каракашев|,1.0
10-Jan-2021 17:00:00,Sunday,January,2021,ALRAWLIJ,Alijah Crawford,BLUENOVA,Иван Тодоров,Онлайн,40.0,ALRAWLIJ|BLUENOVA,4,,more then one session,,818385881,alijah.crawford@msn.com,alijah.crawford@msn.com,07-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Alijah|Crawford|,1.0
11-Jan-2021 13:00:00,Monday,January,2021,FIRADGRA,Findo Gradinarova,BLUENOVA,Жана Иванова,Онлайн,40.0,FIRADGRA|BLUENOVA,15,,more then one session,,882252233,findo.gradinarova@gmail.com,f.gradinarova@bluenova.com,07-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Финдо|Градинарова|,1.0
11-Jan-2021 15:00:00,Monday,January,2021,YAAPUSAP,Yanislaviya Sapundzhieva,NEXATECH,Димитър Петров,Онлайн,40.0,YAAPUSAP|NEXATECH,1,,only one session,,881201225,hello@test.jp,y.sapundzhieva@nexatech.com,04-Jan-2021,NexaTech | Online leadership training | Онлайн тренинг за лидери,|Яниславия|Сапунджиева|,1.0
11-Jan-2021 16:30:00,Monday,January,2021,YAURHBUR,Yanadin Burhanlarski,BLUENOVA,Димитър Петров,Онлайн,40.0,YAURHBUR|BLUENOVA,1,,only one session,,895929210,yanadin.burxanlarski@abv.bg,y.burxanlarski@bluenova.com,07-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Янадин|Бурханларски|,1.0
11-Jan-2021 18:00:00,Monday,January,2021,KIANGMAN,Kitomir Mangarov,BLUENOVA,Жана Иванова,Онлайн,40.0,KIANGMAN|BLUENOVA,1,,only one session,,811133235,kitomir.mangarov@yahoo.com,k.mangarov@bluenova.com,07-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Китомир|Мангъров|,1.0
11-Jan-2021 18:00:00,Monday,January,2021,MAAMPVAM,Mahno Vampirska,BLUENOVA,Димитър Петров,Онлайн,40.0,MAAMPVAM|BLUENOVA,6,,more then one session,,818201222,maxno.vampirska@gmail.com,m.vampirska@bluenova.com,07-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Махно|Вампирска|,1.0
11-Jan-2021 18:00:00,Monday,January,2021,ALHILPHI,Aleah Phillips,BLUENOVA,Мария Георгиева,Онлайн,40.0,ALHILPHI|BLUENOVA,1,,only one session,,811222121,aleah.phillips@yahoo.co.uk,a.phillips@bluenova.com,07-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Aleah|Phillips|,1.0
12-Jan-2021 16:30:00,Tuesday,January,2021,LUULEPUL,Lusio Pulev,BLUENOVA,Мария Георгиева,Онлайн,40.0,LUULEPUL|BLUENOVA,1,,only one session,,899112220,lusio.pulev@abv.bg,l.pulev@bluenova.com,07-Jan-2021,BlueNova | Online leadership training | Онлайн тренинг за лидери,|Лусио|Пулев|,1.0
