training_datetime,dayname,month,year,nickname,employee_names,company,trainer,short_type,bgn_per_hour,concat_emp_company,total_per_emp,trainings_left,returns_or_not,flags,phone,pvt_email,work_email,scheduled_date,type,emp_names_input,is_valid
01-Feb-2023 09:00:00,Wednesday,February,2023,MAEFFJEF,Macie Jefferson,SWIFT SYSTEMS,Жана Иванова,На живо,50.0,MAEFFJEF|SWIFT SYSTEMS,14,,more then one session,,885222200,macie.jefferson@yahoo.co.uk,m.jefferson@swift.systems.com,31-Jan-2023,Swift Systems: Тренинг за лидери на живо | Leadership training in person,|Macie|Jefferson|,1.0
01-Feb-2023 10:00:00,Wednesday,February,2023,KLATAKAT,Klara Katarova,NOVEX,Калина Петрова,Онлайн,50.0,KLATAKAT|NOVEX,8,5.0,more then one session,,359812210222,klara.katarova@abv.bg,k.katarova@novex.com,25-Jan-2023,Novex: Онлайн тренинг за лидери|Online leadership training,|Клара|Катърова|,1.0
01-Feb-2023 11:00:00,Wednesday,February,2023,AGSHLASH,Agustin Ashley,SUNRISECORP,Валентинка Петкова,Онлайн,40.0,AGSHLASH|SUNRISECORP,5,,more then one session,,889332922,agustin.ashley@yahoo.co.uk,a.ashley@sunrisecorp.com,30-Jan-2023,SunriseCorp: Онлайн тренинг за лидери | Online leadership training,|Agustin|Ashley|,1.0
01-Feb-2023 13:30:00,Wednesday,February,2023,OLURTKUR,Olivera Kurtazhova,PRODIGY,Веселин Стефанов,Онлайн,40.0,OLURTKUR|PRODIGY,1,,only one session,,899032329,olivera.kurtazhova@gmail.com,o.kurtazhova@prodigy.com,24-Jan-2023,Prodigy: Онлайн тренинг за лидери,|Оливера|Куртажова|,1.0
01-Feb-2023 15:00:00,Wednesday,February,2023,CIORDJOR,Ciara Jordan,NOVEX,Димитър Петров,На живо,50.0,CIORDJOR|NOVEX,7,5.0,more then one session,,359819803910,ciara.jordan@yandex.ru,c.jordan@novex.com,20-Jan-2023,Novex: Тренинг за лидери на живо | Leadership training in person,|Ciara|Jordan|,1.0
01-Feb-2023 16:30:00,Wednesday,February,2023,ZANOGMNO,Zaharinka Mnogoznaeva,SWIFT SYSTEMS,Цветелина Петрова,На живо,50.0,ZANOGMNO|SWIFT SYSTEMS,24,,more then one session,,888102255,zaxarinka.mnogoznaeva@yahoo.com,z.mnogoznaeva@swift.systems.com,27-Jan-2023,Swift Systems: Тренинг за лидери на живо | Leadership training in person,|Захаринка|Многознаева|,1.0
01-Feb-2023 17:00:00,Wednesday,February,2023,ZVIMOLIM,Zvezdislav Limonadov,MODERNTECH,Димитър Петров,На живо,40.0,ZVIMOLIM|MODERNTECH,15,,more then one session,,883328221,zvezdislav.limonadov@mail.bg,z.limonadov@moderntech.com,23-Jan-2023,ModernTech: Тренинг за лидери на живо | Leadership training in person,|Звездислав|Лимонадов|,1.0
01-Feb-2023 18:00:00,Wednesday,February,2023,ALHDRZHD,Aleksandrina Zhdrakov,NOVEX,Димитър Петров,На живо,50.0,ALHDRZHD|NOVEX,3,9.0,more then one session,,892121590,aleksandrina.zhdrakov@yahoo.com,a.zhdrakov@novex.com,12-Jan-2023,Novex: Тренинг за лидери на живо | Leadership training in person,|Александрина|Ждраков|,1.0
01-Feb-2023 18:30:00,Wednesday,February,2023,CAANSART,Carter Hanson,INDIGO,Радослав Иванов,Онлайн,50.0,CAANSART|INDIGO,4,,more then one session,,393229510223,carter.hanson@yahoo.co.uk,carter.hanson@yahoo.co.uk,24-Jan-2023,iNdigo | Nexern | Conzap: Онлайн тренинг за лидери | Online leadership training,|Carter|Hanson|,1.0
02-Feb-2023 08:30:00,Thursday,February,2023,STUKUTOI,Stoimena Kukuryashkov,SWIFT SYSTEMS,Георги Михайлов,На живо,50.0,STUKUTOI|SWIFT SYSTEMS,3,,more then one session,"2,",889133322,stoimena.kukuryashkov@abv.bg,,01-Feb-2023,Swift Systems: Тренинг за лидери на живо | Leadership training in person,|Стоимена|Кукуряшков|,1.0
02-Feb-2023 09:30:00,Thursday,February,2023,DUELEBEL,Duda Belezhkova,SWIFT SYSTEMS,Георги Михайлов,На живо,50.0,DUELEBEL|SWIFT SYSTEMS,21,,more then one session,,885921292,duda.belezhkova@abv.bg,d.belezhkova@swift.systems.com,25-Jan-2023,Swift Systems: Тренинг за лидери на живо | Leadership training in person,|Дуда|Бележкова|,1.0
02-Feb-2023 11:30:00,Thursday,February,2023,ILENTMEN,Iliyan Menteshev,SWIFT SYSTEMS,Георги Михайлов,На живо,50.0,ILENTMEN|SWIFT SYSTEMS,16,,more then one session,,882112812,iliyan.menteshev@abv.bg,i.menteshev@swift.systems.com,25-Jan-2023,Swift Systems: Тренинг за лидери на живо | Leadership training in person,|Илиян|Ментешев|,1.0
