start_time,end_time,f_name,l_name,phone,pvt_email,type,calendar,price,is_paid,paid_online,certificate_code,notes,scheduled_on,label,scheduled_by,company_name,work_email,preferred_platforms,appointment_id,flags,emp_names_input,first_name,last_name,employee_names,nickname,short_type,company,c_per_emp,c_per_month,prepaid,starts,ends,note,bgn_per_hour,is_valid,contract_duration,concat_emp_company,total_per_emp,returns_or_not,trainer,concat_count,active_trainings_per_client,trainings_left,month,year,dayname,training_datetime,scheduled_date,training_end
2023-02-01 09:00:00,2023-02-01 09:50:00,Macie,Jefferson,885222200,macie.jefferson@yahoo.co.uk,Swift Systems: Тренинг за лидери на живо | Leadership training in person,Жана Иванова | Zhana Ivanova,0.0,no,0.0,,,2023-01-31,,a client,Swift Systems,m.jefferson@swift.systems.com,,977481035,,|Macie|Jefferson|,MACIE,JEFFERSON,Macie Jefferson,MAEFFJEF,На живо,SWIFT SYSTEMS,9999.0,0.0,0.0,2022-04-01,30-Sep-2022,,50.0,1.0,182 days,MAEFFJEF|SWIFT SYSTEMS,14,more then one session,Жана Иванова,,,,February,2023,Wednesday,01-Feb-2023 09:00:00,31-Jan-2023,01-Feb-2023
2023-02-01 10:00:00,2023-02-01 10:50:00,Клара,Катърова,359812210222,klara.katarova@abv.bg,Novex: Онлайн тренинг за лидери|Online leadership training,Калина Петрова | Kalina Petrova,0.0,no,0.0,,,2023-01-25,,a client,Novex,k.katarova@novex.com,Zoom,973861958,,|Клара|Катърова|,KLARA,KATAROVA,Klara Katarova,KLATAKAT,Онлайн,NOVEX,12.0,0.0,0.0,2022-04-01,31-Mar-2023,,50.0,1.0,364 days,KLATAKAT|NOVEX,8,more then one session,Калина Петрова,NOVEX|KLATAKAT,7.0,5.0,February,2023,Wednesday,01-Feb-2023 10:00:00,25-Jan-2023,01-Feb-2023
2023-02-01 11:00:00,2023-02-01 11:50:00,Agustin,Ashley,889332922,agustin.ashley@yahoo.co.uk,SunriseCorp: Онлайн тренинг за лидери | Online leadership training,Валентинка Петкова | Valentinaka Petkova,0.0,no,0.0,,,2023-01-30,,a client,SunriseCorp,a.ashley@sunrisecorp.com,Zoom,976736200,,|Agustin|Ashley|,AGUSTIN,ASHLEY,Agustin Ashley,AGSHLASH,Онлайн,SUNRISECORP,9999.0,0.0,0.0,1920-01-01,01-Jan-1920,,40.0,1.0,0 days,AGSHLASH|SUNRISECORP,5,more then one session,Валентинка Петкова,,,,February,2023,Wednesday,01-Feb-2023 11:00:00,30-Jan-2023,01-Feb-2023
2023-02-01 13:30:00,2023-02-01 14:20:00,Оливера,Куртажова,899032329,olivera.kurtazhova@gmail.com,Prodigy: Онлайн тренинг за лидери,Веселин Стефанов | Veselin Stefanov,0.0,no,0.0,,,2023-01-24,,a client,Prodigy,o.kurtazhova@prodigy.com,"Viber, Google Meet",973225104,,|Оливера|Куртажова|,OLIVERA,KURTAZHOVA,Olivera Kurtazhova,OLURTKUR,Онлайн,PRODIGY,6.0,1.0,0.0,2022-07-01,30-Nov-2022,,40.0,1.0,152 days,OLURTKUR|PRODIGY,1,only one session,Веселин Стефанов,,,,February,2023,Wednesday,01-Feb-2023 13:30:00,24-Jan-2023,01-Feb-2023
2023-02-01 15:00:00,2023-02-01 15:50:00,Ciara,Jordan,359819803910,ciara.jordan@yandex.ru,Novex: Тренинг за лидери на живо | Leadership training in person,Димитър Петров | Dimitar Petrov,0.0,no,0.0,,,2023-01-20,,a client,Novex,c.jordan@novex.com,,971375840,,|Ciara|Jordan|,CIARA,JORDAN,Ciara Jordan,CIORDJOR,На живо,NOVEX,12.0,0.0,0.0,2022-04-01,31-Mar-2023,,50.0,1.0,364 days,CIORDJOR|NOVEX,7,more then one session,Димитър Петров,NOVEX|CIORDJOR,7.0,5.0,February,2023,Wednesday,01-Feb-2023 15:00:00,20-Jan-2023,01-Feb-2023
2023-02-01 16:30:00,2023-02-01 17:20:00,Захаринка,Многознаева,888102255,zaxarinka.mnogoznaeva@yahoo.com,Swift Systems: Тренинг за лидери на живо | Leadership training in person,Цветелина Петрова | Tsvetelina Petrova,0.0,no,0.0,,,2023-01-27,,a trainer,Swift Systems,z.mnogoznaeva@swift.systems.com,,975262453,,|Захаринка|Многознаева|,ZAHARINKA,MNOGOZNAEVA,Zaharinka Mnogoznaeva,ZANOGMNO,На живо,SWIFT SYSTEMS,9999.0,0.0,0.0,2022-04-01,30-Sep-2022,,50.0,1.0,182 days,ZANOGMNO|SWIFT SYSTEMS,24,more then one session,Цветелина Петрова,,,,February,2023,Wednesday,01-Feb-2023 16:30:00,27-Jan-2023,01-Feb-2023
2023-02-01 17:00:00,2023-02-01 17:50:00,Звездислав,Лимонадов,883328221,zvezdislav.limonadov@mail.bg,ModernTech: Тренинг за лидери на живо | Leadership training in person,Димитър Петров | Dimitar Petrov,0.0,no,0.0,,,2023-01-23,,a client,ModernTech,z.limonadov@moderntech.com,,972540693,,|Звездислав|Лимонадов|,ZVEZDISLAV,LIMONADOV,Zvezdislav Limonadov,ZVIMOLIM,На живо,MODERNTECH,9999.0,0.0,0.0,1920-01-01,01-Jan-1920,,40.0,1.0,0 days,ZVIMOLIM|MODERNTECH,15,more then one session,Димитър Петров,,,,February,2023,Wednesday,01-Feb-2023 17:00:00,23-Jan-2023,01-Feb-2023
2023-02-01 18:00:00,2023-02-01 18:50:00,Александрина,Ждраков,892121590,aleksandrina.zhdrakov@yahoo.com,Novex: Тренинг за лидери на живо | Leadership training in person,Димитър Петров | Dimitar Petrov,0.0,no,0.0,,,2023-01-12,,a client,Novex,a.zhdrakov@novex.com,,966208701,,|Александрина|Ждраков|,ALEKSANDRINA,ZHDRAKOV,Aleksandrina Zhdrakov,ALHDRZHD,На живо,NOVEX,12.0,0.0,0.0,2022-04-01,31-Mar-2023,,50.0,1.0,364 days,ALHDRZHD|NOVEX,3,more then one session,Димитър Петров,NOVEX|ALHDRZHD,3.0,9.0,February,2023,Wednesday,01-Feb-2023 18:00:00,12-Jan-2023,01-Feb-2023
2023-02-01 18:30:00,2023-02-01 19:20:00,Carter,Hanson,393229510223,carter.hanson@yahoo.co.uk,iNdigo | Nexern | Conzap: Онлайн тренинг за лидери | Online leadership training,Радослав Иванов | Radoslav Ivanov,0.0,no,0.0,,,2023-01-24,,a client,iNdigo,carter.hanson@yahoo.co.uk,Skype,973395616,,|Carter|Hanson|,CARTER,HANSON,Carter Hanson,CAANSART,Онлайн,INDIGO,5.0,0.0,0.0,2021-11-15,15-Nov-2022,online only,50.0,1.0,365 days,CAANSART|INDIGO,4,more then one session,Радослав Иванов,,,,February,2023,Wednesday,01-Feb-2023 18:30:00,24-Jan-2023,01-Feb-2023
2023-02-02 08:30:00,2023-02-02 09:20:00,Стоимена,Кукуряшков,889133322,stoimena.kukuryashkov@abv.bg,Swift Systems: Тренинг за лидери на живо | Leadership training in person,Георги Михайлов | Georgi Mihaylov,0.0,no,0.0,,,2023-02-01,,a trainer,,,,978238893,"2,",|Стоимена|Кукуряшков|,STOIMENA,KUKURYASHKOV,Stoimena Kukuryashkov,STUKUTOI,На живо,SWIFT SYSTEMS,9999.0,0.0,0.0,2022-04-01,30-Sep-2022,,50.0,1.0,182 days,STUKUTOI|SWIFT SYSTEMS,3,more then one session,Георги Михайлов,,,,February,2023,Thursday,02-Feb-2023 08:30:00,01-Feb-2023,02-Feb-2023
