Start Time,End Time,First Name,Last Name,Phone,Email,Type,Calendar,Appointment Price,Paid?,Amount Paid Online,Certificate Code,Notes,Date Scheduled,Label,Scheduled By,"Име на компанията, в която работите | Name of the company you work for  ",Служебен имейл | Work email  ,Предпочитани платформи | Preferred platforms  ,Appointment ID
"December 23, 2020 16:00","December 23, 2020 16:50", Преса,Четрафилски ,,presa.chetrafilski@abv.bg,NexaTech | Online leadership training | Онлайн тренинг за лидери,Иван Тодоров | Ivan Todorov,0,no,0,,,2020-12-21,,a client ,NexaTech,presa.chetrafilski@abv.bg,"Zoom, Skype, Viber",495717523
"January 5, 2021 16:00","January 5, 2021 16:50",Харитии, Илиева,891239901,Xaritii.Ilieva@yahoo.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Мария Георгиева | Maria Georgieva,0,no,0,,,2020-12-25,,a client ,BlueNova,x.ilieva@bluenova.com,Zoom,497350356
"January 6, 2021 15:00","January 6, 2021 15:50",Цочо,Дзезов,,cocho.Dzezov@gmail.com,NexaTech | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2020-12-21,,a client ,NexaTech,c.dzezov@nexatech.com,"Skype, Viber",495586521
"January 6, 2021 18:00","January 6, 2021 18:50",Златан,Колчев,,zlatan.kolchev@mail.bg,NexaTech | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2020-12-21,,a client ,NexaTech,Zlatan.Kolchev@mail.bg,Skype,495586860
"January 8, 2021 13:00","January 8, 2021 13:50",Билена,Симеонов,,hello@test.jp,NexaTech | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-04,,a client ,NexaTech, b.simeonov@nexatech.com,Skype,501721400
"January 8, 2021 15:00","January 8, 2021 15:50",Панделис,Каракашев,883331511,pandelis.karakashev@yahoo.com ,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-05,,a client ,BlueNova,p.karakashev@bluenova.com ,Viber,502585669
"January 10, 2021 17:00","January 10, 2021 17:50",Alijah,Crawford,818385881, alijah.crawford@msn.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Иван Тодоров | Ivan Todorov,0,no,0,,,2021-01-07,,a client ,BlueNova,Alijah.crawford@msn.com,"Zoom, Viber",504017525
"January 11, 2021 13:00","January 11, 2021 13:50",Финдо,Градинарова,882252233,findo.gradinarova@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Жана Иванова | Zhana Ivanova,0,no,0,,,2021-01-07,,a client ,BlueNova,f.gradinarova@bluenova.com,"Zoom, Viber",504041258
"January 11, 2021 15:00","January 11, 2021 15:50",Яниславия,Сапунджиева,881201225,hello@test.jp,NexaTech | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-04,,a client ,NexaTech,y.sapundzhieva@nexatech.com,Viber,501723336
"January 11, 2021 16:30","January 11, 2021 17:20",Янадин,Бурханларски,895929210,yanadin.burxanlarski@abv.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-07,,a client ,BlueNova,y.burxanlarski@bluenova.com,Zoom,504037746
"January 11, 2021 18:00","January 11, 2021 18:50",Китомир,Мангъров,811133235,kitomir.mangarov@yahoo.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Жана Иванова | Zhana Ivanova,0,no,0,,,2021-01-07,,a client ,BlueNova,k.mangarov@bluenova.com,Zoom,504013359
"January 11, 2021 18:00","January 11, 2021 18:50",Махно,Вампирска,818201222,maxno.vampirska@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-07,,a client ,BlueNova,m.vampirska@bluenova.com,Zoom,504022088
"January 11, 2021 18:00","January 11, 2021 18:50",Aleah,Phillips,811222121,aleah.phillips@yahoo.co.uk,BlueNova | Online leadership training | Онлайн тренинг за лидери,Мария Георгиева | Maria Georgieva,0,no,0,,,2021-01-07,,a client ,BlueNova,a.phillips@bluenova.com,Zoom,504056069
"January 12, 2021 16:30","January 12, 2021 17:20",Лусио,Пулев,899112220,lusio.pulev@abv.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,Мария Георгиева | Maria Georgieva,0,no,0,,,2021-01-07,,a client ,BlueNova,l.pulev@bluenova.com,Zoom,504021536
"January 12, 2021 17:00","January 12, 2021 17:50",Нешка,Иванов,882808082,neshka.ivanov@yahoo.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-07,,a client ,BlueNova,n.ivanov@bluenova.com,"Zoom, Skype",504012132
"January 12, 2021 18:30","January 12, 2021 19:20",Настимир,Пръндачка,885210310,nastimir.prandachka@gmail.com,Vortex | Online leadership training | Онлайн тренинг за лидери,Мария Георгиева | Maria Georgieva,0,no,0,,,2021-01-07,,a client ,Vortex,n.prandachka@vortex.com,Zoom,504114051
"January 13, 2021 12:00","January 13, 2021 12:50",Сташа,Балахуров,893210120,stasha.balaxurov@mail.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-01-09,,a client ,BlueNova,s.balaxurov@bluenova.com,Zoom,505393124
"January 13, 2021 15:00","January 13, 2021 15:50",Alessandra,Bentley,883322211,alessandra.bentley@yandex.ru,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-07,,a client ,BlueNova,a.bentley@bluenova.com,"Zoom, Skype",504029431
"January 13, 2021 15:00","January 13, 2021 15:50",Tripp,Vang,895899111,tripp.vang@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Иван Тодоров | Ivan Todorov,0,no,0,,,2021-01-07,,a client ,BlueNova,t.vang@bluenova.com,"Zoom, Viber",504064495
"January 13, 2021 16:30","January 13, 2021 17:20",Райничка,Келешев,899103531,rajnichka.keleshev@abv.bg,Vortex | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-08,,a client ,Vortex,r.keleshev@vortex.com,Zoom,504709087
"January 13, 2021 18:00","January 13, 2021 18:50",Charlie,Santana,889238292,charlie.santana@msn.com,BlueNova | Leadership training in person | Тренинг за лидери на живо,Мария Георгиева | Maria Georgieva,0,no,0,,,2021-01-07,,a client ,BlueNova,c.santana@bluenova.com,,504012135
"January 13, 2021 18:00","January 13, 2021 18:50",Илчо,Европов Кирилов,899112102,ilcho.evropov kirilov@yahoo.com,BlueNova | Leadership training in person | Тренинг за лидери на живо,Иван Тодоров | Ivan Todorov,0,no,0,,,2021-01-07,,a client ,BlueNova,i.evropov kirilov@bluenova.com,,504020973
"January 13, 2021 18:00","January 13, 2021 18:50",Шамо,Щърбов,818182591,shamo.shharbov@gmail.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-07,,a client ,BlueNova,s.shharbov@bluenova.com,"Zoom, Skype",504024636
"January 13, 2021 18:30","January 13, 2021 19:20",Маслина,Васовa,359899522008,maslina.vasova@mail.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-01-07,,a client ,BlueNova,m.vasova@bluenova.com,"Zoom, Skype, Viber",504016496
"January 14, 2021 13:00","January 14, 2021 13:50",Панделис,Каракашев,883331511,pandelis.karakashev@yahoo.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-08,,hello@test.jp,,,,504751990
"January 14, 2021 13:30","January 14, 2021 14:20",Dana,Marsh,818582205,dana.marsh@yahoo.co.uk,BlueNova | Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-01-07,,a client ,BlueNova,d.marsh@bluenova.com,Zoom,504012681
"January 14, 2021 15:00","January 14, 2021 15:50",Хитко,Мангъфова,883219221,xitko.mangafova@abv.bg,BlueNova | Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-01-08,,a client ,BlueNova,x.mangafova@bluenova.com,"Zoom, Skype",504682509
"January 14, 2021 16:30","January 14, 2021 17:20",Lea,Montes,898211318,lea.montes@yandex.ru,BlueNova | Online leadership training | Онлайн тренинг за лидери,Георги Стоянов | Georgi Stoyanov,0,no,0,,,2021-01-07,,a client ,BlueNova,l.montes@bluenova.com,"Zoom, Viber",504026971
"January 14, 2021 18:00","January 14, 2021 18:50",Теофан,Кукуригов,889228192,teofan.kukurigov@yahoo.com,BlueNova | Online leadership training | Онлайн тренинг за лидери,Димитър Петров | Dimitar Petrov,0,no,0,,,2021-01-07,,a client ,BlueNova,t.kukurigov@bluenova.com,"Zoom, Viber",504069143
